index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
4,scene0707_00,Random-95%-seed41,c26a48f8c9cccecd,False,294,164,0.5578231292517006,0.11224489795918367,0.48639455782312924,0.6952320495268108,1.5992311008685065,1.5992311008685065,0.027600006433203816,10.221200005616993,,,,,,,,,
4,scene0707_00,Grid-RR,f5f8033269b2219b,False,294,169,0.5748299319727891,0.1054421768707483,0.47959183673469385,0.7360173187647531,1.3754113620723032,1.3754113620723032,0.218400004087016,10.480700002517551,,,,,,,,,
4,scene0707_00,4D-ANMS,e93c8096e55f8711,False,294,165,0.5612244897959183,0.11564625850340136,0.4965986394557823,0.7418232665113318,1.5393050767815735,1.5393050767815735,3.3599000016693026,10.618400003295392,,,,,,,,,
4,scene0707_00,Unconditional Spatial,6e415d02fc85dd01,True,294,175,0.5952380952380952,0.11564625850340136,0.4965986394557823,0.9711429714619536,0.844001752262017,0.9711429714619536,0.21910000941716135,0.0,,,,,,,,,
4,scene0707_00,Single-View Conditional,6e415d02fc85dd01,True,294,175,0.5952380952380952,0.11564625850340136,0.4965986394557823,0.9711429714619536,0.844001752262017,0.9711429714619536,0.11900000390596688,0.0,,,,,,,,,
4,scene0707_00,CSMR,6e415d02fc85dd01,True,294,175,0.5952380952380952,0.11564625850340136,0.4965986394557823,0.9711429714619536,0.844001752262017,0.9711429714619536,0.0976000155787915,0.0,0.95,294,294,0.6694632069144434,0.6875,0.5,0.6875,0.5,0
5,scene0707_00,All,8a8afac68b2481df,False,104,40,0.38461538461538464,0.0673076923076923,0.3076923076923077,2.051391089621626,1.72415139387592,2.051391089621626,0.0,8.572399994591251,,,,,,,,,
5,scene0707_00,Top-95%,7a993b808d4a9ef4,False,99,39,0.3939393939393939,0.06060606060606061,0.31313131313131315,1.3043360988438513,0.8987047434164112,1.3043360988438513,0.027700007194653153,8.383700012927875,,,,,,,,,
5,scene0707_00,Random-95%-seed17,6cbf361720355bd2,False,99,40,0.40404040404040403,0.0707070707070707,0.32323232323232326,2.029486778821087,1.7289665108938952,2.029486778821087,0.07410001126118004,8.709300018381327,,,,,,,,,
5,scene0707_00,Random-95%-seed29,e902bbfc8f41aca2,False,99,38,0.3838383838383838,0.0707070707070707,0.32323232323232326,1.6310496626460804,0.9008767564075049,1.6310496626460804,0.031400006264448166,9.371599997393787,,,,,,,,,
5,scene0707_00,Random-95%-seed41,bffc4c516579695e,False,99,37,0.37373737373737376,0.0707070707070707,0.32323232323232326,1.5041250797949175,0.7227334304985021,1.5041250797949175,0.02030000905506313,9.098900016397238,,,,,,,,,
5,scene0707_00,Grid-RR,c0eccebdba32c838,False,99,40,0.40404040404040403,0.0707070707070707,0.31313131313131315,4.786421310338441,1.647332224070525,4.786421310338441,0.12079998850822449,8.928700000979006,,,,,,,,,
5,scene0707_00,4D-ANMS,825131ffd5ae006d,False,99,36,0.36363636363636365,0.0707070707070707,0.31313131313131315,8.261809078758258,4.346562127111372,8.261809078758258,0.8443999977316707,9.169400000246242,,,,,,,,,
5,scene0707_00,Unconditional Spatial,7a993b808d4a9ef4,True,99,39,0.3939393939393939,0.06060606060606061,0.31313131313131315,1.3043360988438513,0.8987047434164112,1.3043360988438513,0.10560001828707755,0.0,,,,,,,,,
5,scene0707_00,Single-View Conditional,7a993b808d4a9ef4,True,99,39,0.3939393939393939,0.06060606060606061,0.31313131313131315,1.3043360988438513,0.8987047434164112,1.3043360988438513,0.1005999802146107,0.0,,,,,,,,,
5,scene0707_00,CSMR,7a993b808d4a9ef4,True,99,39,0.3939393939393939,0.06060606060606061,0.31313131313131315,1.3043360988438513,0.8987047434164112,1.3043360988438513,0.07840001489967108,0.0,0.95,99,99,0.45257942364192927,0.6875,0.3125,0.6875,0.3125,0
6,scene0707_00,All,b0d59d27ec46788b,False,232,123,0.5301724137931034,0.021551724137931036,0.14655172413793102,1.6112387756255793,27.328593970529006,27.328593970529006,0.0,11.408699996536598,,,,,,,,,
6,scene0707_00,Top-95%,ae57d675e5e715ab,False,220,120,0.5454545454545454,0.022727272727272728,0.1409090909090909,1.5435074101951958,26.68576860303905,26.68576860303905,0.027900008717551827,9.361799980979413,,,,,,,,,
6,scene0707_00,Random-95%-seed17,a99e5506a0130c8f,False,220,117,0.5318181818181819,0.022727272727272728,0.14545454545454545,1.575007098717885,26.12096576018071,26.12096576018071,0.06929997471161187,9.995100001106039,,,,,,,,,
