index,scene_id,method,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms
65,0015_0,anms_4d,380,197,0.5184210526315789,0.48157894736842105,0.8657894736842106,0.030514018394645914,0.20766510164054136,0.20766510164054136,5.864799953997135,36.904200038407
66,0015_0,grid_round_robin,579,363,0.6269430051813472,0.6338514680483592,0.9464594127806563,0.3279989927300115,2.2122936893475,2.2122936893475,0.5127000040374696,20.5705999978818
66,0015_0,anms_4d,579,361,0.6234887737478411,0.6234887737478411,0.9395509499136442,0.2983092629912576,2.1061716758789975,2.1061716758789975,10.753599985036999,19.988999993074685
67,0015_0,grid_round_robin,712,502,0.7050561797752809,0.6530898876404494,0.9620786516853933,0.34328497100026517,0.8970519626762994,0.8970519626762994,0.5987999611534178,26.405700016766787
67,0015_0,anms_4d,712,489,0.6867977528089888,0.6376404494382022,0.9564606741573034,0.36373016209103537,0.9340316620573138,0.9340316620573138,13.254199991934001,23.29230000032112
68,0015_0,grid_round_robin,563,359,0.6376554174067496,0.6429840142095915,0.9484902309058615,0.35814196057343683,0.6934399566062203,0.6934399566062203,0.5587000050581992,20.50119999330491
68,0015_0,anms_4d,563,357,0.6341030195381883,0.6287744227353463,0.9360568383658969,0.3107913441045817,0.5481397014352931,0.5481397014352931,9.58000001264736,26.805799978319556
69,0015_0,grid_round_robin,634,410,0.6466876971608833,0.6403785488958991,0.973186119873817,0.7599750059764068,7.3617871961997565,7.3617871961997565,0.5273999995552003,28.205899987369776
69,0015_0,anms_4d,634,408,0.6435331230283912,0.6230283911671924,0.9621451104100947,0.3458679735449369,2.5393995267125833,2.5393995267125833,11.789400014095008,29.025700001511723
70,0015_0,grid_round_robin,829,508,0.6127864897466827,0.5995174909529554,0.962605548854041,0.15662383535868385,0.30226009784224156,0.30226009784224156,0.7615999784320593,33.23339996859431
70,0015_0,anms_4d,829,498,0.6007237635705669,0.5886610373944512,0.9529553679131484,0.17565511183218394,0.3408788581844245,0.3408788581844245,16.3258999818936,25.990699999965727
71,0015_0,grid_round_robin,1242,746,0.6006441223832528,0.5515297906602254,0.9500805152979066,0.10067912475419168,1.1329059744475172,1.1329059744475172,0.8797000045888126,72.12900003651157
71,0015_0,anms_4d,1242,733,0.5901771336553945,0.5458937198067633,0.9371980676328503,0.09330745900451044,1.0706105358612792,1.0706105358612792,29.416100005619228,69.91289998404682
72,0015_0,grid_round_robin,512,268,0.5234375,0.51953125,0.939453125,0.8291127989091595,1.791803855060747,1.791803855060747,0.6272000027820468,44.09699997631833
72,0015_0,anms_4d,512,266,0.51953125,0.51953125,0.93359375,0.4206151571295195,1.572978080330554,1.572978080330554,8.275899977888912,40.765699988696724
73,0015_0,grid_round_robin,657,416,0.6331811263318112,0.5799086757990868,0.9269406392694064,0.5982917004898348,1.2195831172670426,1.2195831172670426,0.5430000019259751,37.07879997091368
73,0015_0,anms_4d,657,403,0.6133942161339422,0.5646879756468798,0.9147640791476408,0.07982484522255567,0.178142069381756,0.178142069381756,13.052400026936084,38.711899949703366
74,0015_0,grid_round_robin,701,444,0.6333808844507846,0.62339514978602,0.9586305278174037,0.2287773641383818,0.39418757527662407,0.39418757527662407,0.5332999862730503,37.79729997040704
74,0015_0,anms_4d,701,448,0.6390870185449358,0.6176890156918687,0.9543509272467903,0.04902091199251466,0.08419717997665221,0.08419717997665221,13.045200030319393,34.04090000549331
75,0015_0,grid_round_robin,795,432,0.5433962264150943,0.4578616352201258,0.8742138364779874,0.02656526263360423,4.2782261185214905,4.2782261185214905,0.672800000756979,57.390799978747964
75,0015_0,anms_4d,795,428,0.5383647798742138,0.4591194968553459,0.8716981132075472,0.019029468908884604,4.539945865108832,4.539945865108832,16.37339999433607,65.35109999822453
76,0015_0,grid_round_robin,733,462,0.6302864938608458,0.5757162346521146,0.9399727148703957,0.12287772337283169,0.43055210572830555,0.43055210572830555,0.5588000058196485,38.84719999041408
76,0015_0,anms_4d,733,448,0.6111869031377899,0.5634379263301501,0.9249658935879945,0.2363633117183032,0.8166556046862954,0.8166556046862954,14.169499976560473,31.645999988541007
77,0015_0,grid_round_robin,868,488,0.5622119815668203,0.5576036866359447,0.945852534562212,0.09167786693969118,0.21265621494018305,0.21265621494018305,1.0609999881125987,57.098800025414675
